horizon_minutes,risk_class,count,mean_slope_c_per_min,median_slope_c_per_min,q1_slope_c_per_min,q3_slope_c_per_min,min_slope_c_per_min,max_slope_c_per_min
5,LOW,2848,-0.003837058266165577,-1.0024411859983043e-16,-0.018074995665258473,0.011007519149409076,-1.0424366703809231,0.7786663691025439
5,NORMAL,48879,0.0003204640598773936,1.3124945146474389e-15,-0.0030282871894323,0.0023903857472961,-0.5453595018089846,0.560673278808057
5,HIGH,1053,0.018764751332284977,0.0057287434905392,1.2843211981011642e-15,0.0225007261965385,-0.1310094115166125,0.5800716421548371
10,LOW,4218,0.0013152814031136082,-2.2783413645363316e-15,-0.009127394682606075,0.005043196135232774,-0.6697586570238918,0.5114856289291497
10,NORMAL,46487,0.00029775390636806566,-8.734066070272714e-16,-0.0032123786168349,0.00284443381798605,-0.1494861225841903,0.3005245473679417
10,HIGH,1695,0.011562053144938984,0.0058031304185263,-4.2483549817396424e-16,0.0132894556002232,-0.1024187799943027,0.392916792146641
15,LOW,5449,0.0016654599209256012,-1.7497609970548025e-15,-0.0063055983406789,0.0034107313889575,-0.4139952897850342,0.3710026117425612
15,NORMAL,44288,0.00024316999889143422,-3.739715055507883e-16,-0.0026136680203672,0.002343953798683625,-0.0733172860470376,0.2127722143876522
15,HIGH,2217,0.007025519249752111,0.0038701270184682,-9.511730132119859e-17,0.0087644371879427,-0.0874694165118812,0.2536877463044082
