split,horizon,LOW_n,NORMAL_n,HIGH_n,LOW_%,NORMAL_%,HIGH_%
Train,5 min,648,27010,606,2.2926691197282763,95.56326068497027,2.1440701953014436
Train,10 min,1221,25949,1094,4.31998301726578,91.80936880837814,3.8706481743560714
Train,15 min,1736,24974,1554,6.142088876309085,88.3597509198981,5.498160203792811
Validation,5 min,1137,18445,177,5.7543397945240145,93.349865883901,0.8957943215749785
Validation,10 min,1883,17620,256,9.529834505794827,89.17455336808543,1.2956121261197429
Validation,15 min,2608,16821,330,13.19904853484488,85.13082645882889,1.670125006326231
Test,5 min,891,3246,170,20.68725330856745,75.365683770606,3.9470629208265615
Test,10 min,1055,2964,288,24.495008126306015,68.81820292547016,6.686788948223822
Test,15 min,1214,2707,386,28.186672858137918,62.85117250986766,8.962154631994428
